Region,Division,lat_lng,Island,Num_of_Schools,Year,Number
Region I,Ilocos Norte,"18.1647, 120.7116",Luzon,2406,2005,53546
Region I,Ilocos Norte,"18.1647, 120.7116",Luzon,2406,2006,53595
Region I,Ilocos Norte,"18.1647, 120.7116",Luzon,2406,2007,53879
Region I,Ilocos Norte,"18.1647, 120.7116",Luzon,2406,2008,54134
Region I,Ilocos Norte,"18.1647, 120.7116",Luzon,2406,2009,54185
Region I,Ilocos Norte,"18.1647, 120.7116",Luzon,2406,2010,54573
Region I,Ilocos Norte,"18.1647, 120.7116",Luzon,2406,2011,55885
Region I,Ilocos Norte,"18.1647, 120.7116",Luzon,2406,2012,56473
Region I,Ilocos Sur,"17.2279, 120.5740",Luzon,2406,2005,66098
Region I,Ilocos Sur,"17.2279, 120.5740",Luzon,2406,2006,65845
Region I,Ilocos Sur,"17.2279, 120.5740",Luzon,2406,2007,66210
Region I,Ilocos Sur,"17.2279, 120.5740",Luzon,2406,2008,66430
Region I,Ilocos Sur,"17.2279, 120.5740",Luzon,2406,2009,67522
Region I,Ilocos Sur,"17.2279, 120.5740",Luzon,2406,2010,68563
Region I,Ilocos Sur,"17.2279, 120.5740",Luzon,2406,2011,69871
Region I,Ilocos Sur,"17.2279, 120.5740",Luzon,2406,2012,69652
Region I,La Union,"16.6159, 120.3209",Luzon,2406,2005,77154
Region I,La Union,"16.6159, 120.3209",Luzon,2406,2006,76911
Region I,La Union,"16.6159, 120.3209",Luzon,2406,2007,77115
Region I,La Union,"16.6159, 120.3209",Luzon,2406,2008,77463
Region I,La Union,"16.6159, 120.3209",Luzon,2406,2009,78130
Region I,La Union,"16.6159, 120.3209",Luzon,2406,2010,78510
Region I,La Union,"16.6159, 120.3209",Luzon,2406,2011,79132
Region I,La Union,"16.6159, 120.3209",Luzon,2406,2012,77869
Region I,Lingayen,"16.0060, 120.2397",Luzon,2406,2005,173544
Region I,Lingayen,"16.0060, 120.2397",Luzon,2406,2006,172930
Region I,Lingayen,"16.0060, 120.2397",Luzon,2406,2007,172823
Region I,Lingayen,"16.0060, 120.2397",Luzon,2406,2008,174484
Region I,Lingayen,"16.0060, 120.2397",Luzon,2406,2009,174787
Region I,Lingayen,"16.0060, 120.2397",Luzon,2406,2010,174439
Region I,Lingayen,"16.0060, 120.2397",Luzon,2406,2011,176129
Region I,Lingayen,"16.0060, 120.2397",Luzon,2406,2012,176715
Region I,Binalonan,"16.0659, 120.5970",Luzon,2406,2005,135611
Region I,Binalonan,"16.0659, 120.5970",Luzon,2406,2006,134251
Region I,Binalonan,"16.0659, 120.5970",Luzon,2406,2007,132979
Region I,Binalonan,"16.0659, 120.5970",Luzon,2406,2008,134013
Region I,Binalonan,"16.0659, 120.5970",Luzon,2406,2009,134100
Region I,Binalonan,"16.0659, 120.5970",Luzon,2406,2010,133235
Region I,Binalonan,"16.0659, 120.5970",Luzon,2406,2011,133256
Region I,Binalonan,"16.0659, 120.5970",Luzon,2406,2012,134090
Region I,Dagupan City,"16.0433, 120.3333",Luzon,2406,2005,18820
Region I,Dagupan City,"16.0433, 120.3333",Luzon,2406,2006,19346
Region I,Dagupan City,"16.0433, 120.3333",Luzon,2406,2007,19749
Region I,Dagupan City,"16.0433, 120.3333",Luzon,2406,2008,20181
Region I,Dagupan City,"16.0433, 120.3333",Luzon,2406,2009,20720
Region I,Dagupan City,"16.0433, 120.3333",Luzon,2406,2010,21060
Region I,Dagupan City,"16.0433, 120.3333",Luzon,2406,2011,22067
Region I,Dagupan City,"16.0433, 120.3333",Luzon,2406,2012,22104
Region I,Laoag City,"18.1960, 120.5927",Luzon,2406,2005,9769
Region I,Laoag City,"18.1960, 120.5927",Luzon,2406,2006,9920
Region I,Laoag City,"18.1960, 120.5927",Luzon,2406,2007,10073
Region I,Laoag City,"18.1960, 120.5927",Luzon,2406,2008,10294
Region I,Laoag City,"18.1960, 120.5927",Luzon,2406,2009,10392
Region I,Laoag City,"18.1960, 120.5927",Luzon,2406,2010,10697
Region I,Laoag City,"18.1960, 120.5927",Luzon,2406,2011,10983
Region I,Laoag City,"18.1960, 120.5927",Luzon,2406,2012,11333
Region I,San Carlos City,"15.8989, 120.3205",Luzon,2406,2005,25236
Region I,San Carlos City,"15.8989, 120.3205",Luzon,2406,2006,25170
Region I,San Carlos City,"15.8989, 120.3205",Luzon,2406,2007,25668
Region I,San Carlos City,"15.8989, 120.3205",Luzon,2406,2008,25754
Region I,San Carlos City,"15.8989, 120.3205",Luzon,2406,2009,25529
Region I,San Carlos City,"15.8989, 120.3205",Luzon,2406,2010,25352
Region I,San Carlos City,"15.8989, 120.3205",Luzon,2406,2011,25696
Region I,San Carlos City,"15.8989, 120.3205",Luzon,2406,2012,26146
Region I,Urdaneta City,"15.9758, 120.5707",Luzon,2406,2005,16496
Region I,Urdaneta City,"15.9758, 120.5707",Luzon,2406,2006,16237
Region I,Urdaneta City,"15.9758, 120.5707",Luzon,2406,2007,16209
Region I,Urdaneta City,"15.9758, 120.5707",Luzon,2406,2008,16445
Region I,Urdaneta City,"15.9758, 120.5707",Luzon,2406,2009,16910
Region I,Urdaneta City,"15.9758, 120.5707",Luzon,2406,2010,17497
Region I,Urdaneta City,"15.9758, 120.5707",Luzon,2406,2011,18090
Region I,Urdaneta City,"15.9758, 120.5707",Luzon,2406,2012,18231
Region I,Candon City,"17.1874, 120.4467",Luzon,2406,2005,7377
Region I,Candon City,"17.1874, 120.4467",Luzon,2406,2006,6177
Region I,Candon City,"17.1874, 120.4467",Luzon,2406,2007,6143
Region I,Candon City,"17.1874, 120.4467",Luzon,2406,2008,6102
Region I,Candon City,"17.1874, 120.4467",Luzon,2406,2009,6179
Region I,Candon City,"17.1874, 120.4467",Luzon,2406,2010,6299
Region I,Candon City,"17.1874, 120.4467",Luzon,2406,2011,6501
Region I,Candon City,"17.1874, 120.4467",Luzon,2406,2012,6536
Region I,Alaminos City,"16.1505, 119.9856",Luzon,2406,2005,11372
Region I,Alaminos City,"16.1505, 119.9856",Luzon,2406,2006,11465
Region I,Alaminos City,"16.1505, 119.9856",Luzon,2406,2007,11514
Region I,Alaminos City,"16.1505, 119.9856",Luzon,2406,2008,11698
Region I,Alaminos City,"16.1505, 119.9856",Luzon,2406,2009,11766
Region I,Alaminos City,"16.1505, 119.9856",Luzon,2406,2010,11864
Region I,Alaminos City,"16.1505, 119.9856",Luzon,2406,2011,12193
Region I,Alaminos City,"16.1505, 119.9856",Luzon,2406,2012,12488
Region I,Vigan City,"17.5705, 120.3873",Luzon,2406,2005,4836
Region I,Vigan City,"17.5705, 120.3873",Luzon,2406,2006,4776
Region I,Vigan City,"17.5705, 120.3873",Luzon,2406,2007,4860
Region I,Vigan City,"17.5705, 120.3873",Luzon,2406,2008,4964
Region I,Vigan City,"17.5705, 120.3873",Luzon,2406,2009,4979
Region I,Vigan City,"17.5705, 120.3873",Luzon,2406,2010,5305
Region I,Vigan City,"17.5705, 120.3873",Luzon,2406,2011,5538
Region I,Vigan City,"17.5705, 120.3873",Luzon,2406,2012,5750
Region I,San Fernando City,"16.6074, 120.3666",Luzon,2406,2005,10902
Region I,San Fernando City,"16.6074, 120.3666",Luzon,2406,2006,11047
Region I,San Fernando City,"16.6074, 120.3666",Luzon,2406,2007,11142
Region I,San Fernando City,"16.6074, 120.3666",Luzon,2406,2008,11222
Region I,San Fernando City,"16.6074, 120.3666",Luzon,2406,2009,11251
Region I,San Fernando City,"16.6074, 120.3666",Luzon,2406,2010,11272
Region I,San Fernando City,"16.6074, 120.3666",Luzon,2406,2011,11510
Region I,San Fernando City,"16.6074, 120.3666",Luzon,2406,2012,11843
Region II,Batanes,"20.4485, 121.9708",Luzon,2200,2005,2359
Region II,Batanes,"20.4485, 121.9708",Luzon,2200,2006,2315
Region II,Batanes,"20.4485, 121.9708",Luzon,2200,2007,2274
Region II,Batanes,"20.4485, 121.9708",Luzon,2200,2008,2227
Region II,Batanes,"20.4485, 121.9708",Luzon,2200,2009,2248
Region II,Batanes,"20.4485, 121.9708",Luzon,2200,2010,2238
Region II,Batanes,"20.4485, 121.9708",Luzon,2200,2011,2315
Region II,Batanes,"20.4485, 121.9708",Luzon,2200,2012,2329
