Region,Division,lat_lng
ARMM,Marawi City,"8.003404, 124.283948"
ARMM,Basilan,"6.4296, 121.9870"
ARMM,Lamitan City,"6.6615, 122.1065"
ARMM,Lanao del Sur - IA,"7.8232, 124.4198"
ARMM,Lanao del Sur - IB,"7.8232, 124.4198"
ARMM,Lanao del Sur - IIA,"7.8232, 124.4198"
ARMM,Lanao del Sur - IIB,"7.8232, 124.4198"
ARMM,Maguindanao I,"6.9423, 124.4198"
ARMM,Maguindanao II,"6.9423, 124.4198"
ARMM,Shariff Kabunsuan,"7.2167, 124.9500"
ARMM,Sulu I,"5.9749, 121.0335"
ARMM,Sulu II,"5.9749, 121.0335"
ARMM,Tawi-Tawi,"5.1338, 119.9509"
CAR,Baguio City,"16.417155, 120.590998"
CAR,Abra,"17.5951, 120.7983"
CAR,Apayao,"18.0120, 121.1710"
CAR,Benguet,"16.5577, 120.8039"
CAR,Ifugao,"16.8331, 121.1710"
CAR,Kalinga,"17.4740, 121.3542"
CAR,Mt. Province,"17.0663, 121.0335"
CARAGA,Dinagat Island,"10.1282, 125.6095"
CARAGA,Butuan City,"8.949167, 125.543611"
CARAGA,Surigao City,"9.789, 125.495"
CARAGA,Siargao,"9.881441, 123.600694"
CARAGA,Agusan del Norte,"8.9456, 125.5319"
CARAGA,Agusan del Sur,"8.0464, 126.0615"
CARAGA,Bislig City,"8.2101, 126.2848"
CARAGA,Surigao del Norte,"9.5148, 125.6970"
CARAGA,Surigao del Sur,"8.5405, 126.1145"
NCR,Quezon City,"14.6488, 121.0509"
NCR,Pasay City,"14.54559, 120.995818"
NCR,Marikina City,"14.64138, 121.111796"
NCR,Navotas,"14.647676, 120.959073"
NCR,City of San Juan,"14.6, 121.0333"
NCR,Mandaluyong City,"14.5832, 121.0409"
NCR,Manila,"14.6042, 120.9822"
NCR,Muntinlupa City,"14.413494, 121.026322"
NCR,Makati City,"14.550106, 121.036017"
NCR,Malabon City,"14.669098, 120.971958"
NCR,Pasig City,"14.560355, 121.08121"
NCR,Caloocan City,"14.649228, 120.982589"
NCR,Valenzuela City,"14.693645, 120.965583"
NCR,Las Pinas City,"14.4445, 120.9939"
NCR,Paranaque City,"14.4793, 121.0198"
NCR,Taguig,"14.5176, 121.0509"
Region I,Dagupan City,"16.0433, 120.3333"
Region I,Vigan City,"17.5705, 120.3873"
